ภาค,จังหวัด,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.087813393648784e-05,8.417876009207372e-05
ภาคกลาง,อ่างทอง,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.377922535224938e-05,8.222134719487284e-05
ภาคกลาง,กรุงเทพมหานคร,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.040260023347251e-05,8.014637779805673e-05
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,9.333811592015612e-05,8.677019926344285e-05
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.414767237363095e-05,8.216686404399884e-05
ภาคกลาง,ฉะเชิงเทรา,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05,8.316613692263088e-05
ภาคกลาง,ชัยนาท,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.188180146583411e-05,8.307522043456692e-05
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.474078330932511e-05,8.421024154498437e-05
ภาคกลาง,จันทบุรี,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05,7.844461281128832e-05
ภาคเหนือ,เชียงใหม่,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,7.91932710785508e-05,8.718073582949827e-05
ภาคเหนือ,เชียงราย,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.943521286662609e-05,8.809498660770677e-05
ภาคกลาง,ชลบุรี,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05,7.719171885302763e-05
ภาคใต้,ชุมพร,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.542330512933724e-05,7.528523617336742e-05
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.520216430295365e-05,8.506725372179164e-05
ภาคเหนือ,กำแพงเพชร,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.455554249062885e-05,8.362225835717821e-05
ภาคกลาง,กาญจนบุรี,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05,8.179494470561076e-05
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.634987625911543e-05,8.45492679630637e-05
